ID,Name,Start.Month,Start.Year,End.Month,End.Year,Years.of.Rule,Dys,PM at Age,Title,Party,Mil. Exp.,Yr. of Mil,Education,Mil.Exp.Summary,Notes
55,Stanley Baldwin,5,1923,1,1924,,,55,1st Earl Baldwin of Bewdley,Conservative,1,,Cambridge,Very brief tenure as 2nd Lt in artillery volunteers,"Very wealthy, Kipling's cousin"
56,James Ramsay Macdonald,1,1924,11,1924,,,57,,Labour,,,*,,First Labor PM
57,Stanley Baldwin,11,1924,6,1929,,,57,,Conservative,1,,Cambridge,,
58,James Ramsay Macdonald,6,1929,6,1935,6,289,62,,Labour,,,*,,
59,Stanley Baldwin,6,1935,5,1937,7,82,67,,Conservative,1,7,Cambridge,,
60,Arthur Neville Chamberlain,5,1937,5,1940,2,348,68,,Conservative,,,*,,Tried to talk to Hitler
61,William Leonard Spencer Churchill,5,1940,7,1945,,,65,,Conservative,1,,Sandhurst,"Royal Military College, Sandhurst,  India and Sudan, Minister of munitions, mil. Position in gov. during WW I",Soldier
62,Clement Richard Attlee,7,1945,9,1951,6,92,63,1st Earl Attlee,Labour,1,6,Oxford,"Captain, WWI, rose to rank of Major",
63,William Leonard Spencer Churchill,9,1951,4,1955,8,240,76,,,1,9,Sandhurst,,
64,Robert Anthony Eden,4,1955,1,1957,1,279,57,1961 - Earl of Avon,Conservative,1,2,Oxford,"WWI won Mil cross, Major ",Secretary of State for War in Churchill cabinet
65,Maurice Harold Macmillan,1,1957,9,1963,6,281,62,1st Earl of Stockton,Conservative,1,7,Oxford,"WW1, captain",Expelled from Eton due to sodomy/Gay
66,Alexander Frederick Douglass-Home,9,1963,9,1964,,362,60,Baron Home of the Hirsel,Conservative,,,Oxford,,First peer to be PM since Salisbury
67,James Harold Wilson,9,1964,9,1970,,,48,,Labour,,,Oxford,,"Intellectual, WWI - worked in civil service as statistician"
68,Edward Richard George Heath,6,1970,3,1974,3,259,53,,Conservative,1,4,Oxford,"Commanding Officer, extensive army experience",
69,James Harold Wilson,3,1974,4,1976,7,279,57,,Labour,,,Oxford,,
70,Leonard James Callagha,4,1976,5,1979,3,29,64,,Labour,1,3,*,Lieutenant WW II,son of a naval chief petty officer
71,Margaret Hilda Thatcher,5,1979,11,1990,11,209,53,,Conservative,,,Oxford,,
72,John Major,11,1990,5,1997,6,154,47,,Conservative,,,*,,
73,Anthony Charles Lynton Blair,5,1997,6,2007,,,43,,Labour,,,Oxford,,
74,Gordon Brown,6,2007,,,,,56,,Labour,,,,,
